Lark_ID,firstInterval,firstDet,Field_ID,unique_ID,OffRoad_ID,OffRoad,surveyEvent,Observer,Year,Survey_Date,Visit,Survey_Time,Wind,Temp,Sky_Code,Avg_Noise,Max_Noise,OVSP?,Site_Comments,Number_Detected,Individual_ID,Sex,Age,Distance_1,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Distance_2,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,Distance_3,Min_17,Min_18,Min_19,Min_20,Min_21,Min_22,Min_23,Min_24,PB_Distance_4,Min_25,Min_26,Min_27,PB_Distance_5,Min_28,Min_29,Min_30,Notes,UTM_X,UTM_Y,Count_Date,Start_Time,Site_ID,Interval_1,Interval_2,Interval_3,Interval_4,Interval_5,Interval_6,Interval_7,Interval_8,Interval_9,Interval_10,Interval_11,Interval_12,Interval_13,Interval_14,Interval_15,Interval_16,Interval_17,Interval_18,Interval_19,Interval_20,Interval_21,Interval_22,Interval_23,Interval_24,Interval_25,Interval_26,Interval_27,Interval_28,Interval_29,Interval_30,dayOfYear,surveyYear,sunrise,mas
687,19,Singing,24_CA02,NA,CA02,1,595,SHA,2024,6/7/2024,2,06:16:00,NA,52,Clear,NA,NA,0,NA,4,4,Male,Adult,NA,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,92,X,X,S,S,S,S,S,S,98,S,X,S,98,S,X,S,NA,4926683.05,477151.26,2024-06-07,6H 16M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,Singing,Singing,Singing,Singing,Singing,Singing,NA,Singing,Singing,NA,Singing,159,2024,2024-06-07T12:30:14Z,46
689,1,Singing,24_CA04,NA,CA04,1,596,SHA,2024,6/7/2024,2,05:35:00,NA,52,Clear,NA,NA,0,pair of NOHA ~300m away at min 7 of count,3,1,Male,Adult,51,S,S,S,S,S,S,X,X,73,C,S,X,S,X,S,S,X,84,X,X,S,S,S,S,S,S,84,S,S,C,87,S,S,S,NA,4926983.05,477601.26,2024-06-07,5H 35M 0S,NA,Singing,Singing,Singing,Singing,Singing,Singing,NA,NA,Calling,Singing,NA,Singing,NA,Singing,Singing,NA,NA,NA,Singing,Singing,Singing,Singing,Singing,Singing,Singing,Singing,Calling,Singing,Singing,Singing,159,2024,2024-06-07T12:30:14Z,4.999999999999982
690,2,Singing,24_CA04,NA,CA04,1,596,SHA,2024,6/7/2024,2,05:35:00,NA,52,Clear,NA,NA,0,pair of NOHA ~300m away at min 7 of count,3,2,Male,Adult,117,X,S,S,S,S,S,X,X,101,S,X,X,X,X,X,X,X,93,X,S,S,X,S,X,X,X,NA,X,X,X,NA,X,X,X,NA,4926983.05,477601.26,2024-06-07,5H 35M 0S,NA,NA,Singing,Singing,Singing,Singing,Singing,NA,NA,Singing,NA,NA,NA,NA,NA,NA,NA,NA,Singing,Singing,NA,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,2024,2024-06-07T12:30:14Z,4.999999999999982
691,12,Singing,24_CA04,NA,CA04,1,596,SHA,2024,6/7/2024,2,05:35:00,NA,52,Clear,NA,NA,0,pair of NOHA ~300m away at min 7 of count,3,3,Male,Adult,NA,X,X,X,X,X,X,X,X,182,X,X,X,S,S,S,S,S,262,S,S,S,S,V,V,S,V,262,V,V,X,115,X,X,C,NA,4926983.05,477601.26,2024-06-07,5H 35M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,Singing,Singing,Singing,Singing,Singing,Singing,Singing,Singing,Visual,Visual,Singing,Visual,Visual,Visual,NA,NA,NA,Calling,159,2024,2024-06-07T12:30:14Z,4.999999999999982
692,10,Singing,24_9,9,NA,0,597,SHA,2024,6/6/2024,1,08:29:00,NA,61,Clear,NA,NA,0,"2 m filbert on W, tall dense wheat to E, NOHA flew over in area while SHLA was singing",2,1,Male,Adult,NA,X,X,X,X,X,X,X,X,187,X,S,S,S,S,S,S,S,232,X,X,X,X,X,S,S,S,NA,X,X,X,NA,X,X,X,NA,478280.12,4996115.5,2024-06-06,8H 29M 0S,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,Singing,Singing,Singing,Singing,Singing,Singing,NA,NA,NA,NA,NA,Singing,Singing,Singing,NA,NA,NA,NA,NA,NA,158,2024,2024-06-06T12:30:33Z,178.99999999999994
693,27,Calling,24_9,9,NA,0,597,SHA,2024,6/6/2024,1,08:29:00,NA,61,Clear,NA,NA,0,"2 m filbert on W, tall dense wheat to E, NOHA flew over in area while SHLA was singing",2,2,Unknown,NA,NA,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,39,X,X,C,NA,X,X,X,NA,478280.12,4996115.5,2024-06-06,8H 29M 0S,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calling,NA,NA,NA,158,2024,2024-06-06T12:30:33Z,178.99999999999994
694,11,Singing,24_3367,3367,NA,0,599,SHA,2024,6/6/2024,1,06:54:00,NA,50,Clear,NA,NA,0,"Xmas tree farm and grass seed field, ~75 cars passed during count, very loud",5,1,Male,Adult,NA,X,X,X,X,X,X,X,X,163,X,X,S,S,S,X,X,X,NA,X,X,X,X,X,X,X,X,NA,X,X,X,NA,X,X,X,NA,468050.65,4987719,2024-06-06,6H 54M 0S,3367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,Singing,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,2024,2024-06-06T12:30:33Z,84.00000000000003
695,14,Calling,24_3367,3367,NA,0,599,SHA,2024,6/6/2024,1,06:54:00,NA,50,Clear,NA,NA,0,"Xmas tree farm and grass seed field, ~75 cars passed during count, very loud",5,2,Unknown,NA,NA,X,X,X,X,X,X,X,X,145,X,X,X,X,X,C,X,X,NA,X,X,X,X,X,X,X,X,NA,X,X,X,NA,X,X,X,NA,468050.65,4987719,2024-06-06,6H 54M 0S,3367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,2024,2024-06-06T12:30:33Z,84.00000000000003
696,14,Calling,24_3367,3367,NA,0,599,SHA,2024,6/6/2024,1,06:54:00,NA,50,Clear,NA,NA,0,"Xmas tree farm and grass seed field, ~75 cars passed during count, very loud",5,3,Unknown,NA,NA,X,X,X,X,X,X,X,X,149,X,X,X,X,X,C,X,X,NA,X,X,X,X,X,X,X,X,NA,X,X,X,NA,X,X,X,NA,468050.65,4987719,2024-06-06,6H 54M 0S,3367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,2024,2024-06-06T12:30:33Z,84.00000000000003
697,14,Visual,24_3367,3367,NA,0,599,SHA,2024,6/6/2024,1,06:54:00,NA,50,Clear,NA,NA,0,"Xmas tree farm and grass seed field, ~75 cars passed during count, very loud",5,4,Unknown,NA,NA,X,X,X,X,X,X,X,X,155,X,X,X,X,X,V,X,X,NA,X,X,X,X,X,X,X,X,NA,X,X,X,NA,X,X,X,NA,468050.65,4987719,2024-06-06,6H 54M 0S,3367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Visual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,2024,2024-06-06T12:30:33Z,84.00000000000003
