"","Lark_ID","firstInterval","firstDet","site","Count_Date","Start_Time","dayOfYear","surveyYear","Interval_1","Interval_2","Interval_3","Interval_4","Interval_5","Interval_6","Interval_7","Interval_8","Interval_9","Interval_10","Interval_11","Interval_12"
"90",NA,NA,NA,"5692",2025-05-22,7H 0M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,"5315",2025-05-22,6H 41M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,"1967",2025-06-10,5H 49M 0S,161,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,"2601",2025-06-10,6H 21M 0S,161,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,"2600",2025-06-10,6H 42M 0S,161,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,"801",2025-06-10,7H 12M 0S,161,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,"2489",2025-06-10,7H 39M 0S,161,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,NA,"1666",2025-06-10,9H 18M 0S,161,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,"3923",2025-06-11,5H 37M 0S,162,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,"2710",2025-06-11,6H 1M 0S,162,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,"4704",2025-06-11,6H 34M 0S,162,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,"3254",2025-06-11,7H 3M 0S,162,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,"4607",2025-06-11,8H 6M 0S,162,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,"1414",2025-06-11,7H 34M 0S,162,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,"4450",2025-06-11,9H 0M 0S,162,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,"4071",2025-06-11,8H 34M 0S,162,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,"3987",2025-06-11,9H 23M 0S,162,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
