"","Lark_ID","firstInterval","firstDet","site","Count_Date","Start_Time","dayOfYear","surveyYear","Interval_1","Interval_2","Interval_3","Interval_4"
"93","660",3,"Calling","1356",2023-06-15,7H 58M 0S,166,2023,NA,NA,"Calling","Calling"
"94","661",1,"Singing","936",2023-06-15,9H 0M 0S,166,2023,"Singing","Calling","Calling","Singing"
"95","662",3,"Calling","936",2023-06-15,9H 0M 0S,166,2023,NA,NA,"Calling",NA
"96",NA,NA,NA,"148",2022-06-09,8H 25M 0S,160,2022,NA,NA,NA,NA
"97",NA,NA,NA,"203",2022-06-09,7H 49M 0S,160,2022,NA,NA,NA,NA
"98",NA,NA,NA,"213",2022-06-30,7H 8M 0S,181,2022,NA,NA,NA,NA
"99",NA,NA,NA,"593",2022-06-27,6H 0M 0S,178,2022,NA,NA,NA,NA
"100",NA,NA,NA,"597",2022-06-27,6H 32M 0S,178,2022,NA,NA,NA,NA
"101",NA,NA,NA,"634",2022-06-27,8H 34M 0S,178,2022,NA,NA,NA,NA
"102",NA,NA,NA,"975",2022-06-25,8H 34M 0S,176,2022,NA,NA,NA,NA
"103",NA,NA,NA,"982",2022-06-27,9H 0M 0S,178,2022,NA,NA,NA,NA
"104",NA,NA,NA,"1827",2022-06-27,7H 9M 0S,178,2022,NA,NA,NA,NA
"105",NA,NA,NA,"2068",2022-06-30,6H 9M 0S,181,2022,NA,NA,NA,NA
"106",NA,NA,NA,"2203",2022-06-27,7H 35M 0S,178,2022,NA,NA,NA,NA
"107",NA,NA,NA,"2332",2022-06-27,9H 25M 0S,178,2022,NA,NA,NA,NA
"108",NA,NA,NA,"2405",2022-06-25,9H 14M 0S,176,2022,NA,NA,NA,NA
"109",NA,NA,NA,"2831",2022-06-27,8H 12M 0S,178,2022,NA,NA,NA,NA
"110",NA,NA,NA,"3679",2022-06-09,7H 39M 0S,160,2022,NA,NA,NA,NA
"111",NA,NA,NA,"4498",2022-06-30,8H 14M 0S,181,2022,NA,NA,NA,NA
"112",NA,NA,NA,"4558",2022-06-25,8H 0M 0S,176,2022,NA,NA,NA,NA
"113",NA,NA,NA,"4808",2022-06-18,5H 54M 0S,169,2022,NA,NA,NA,NA
"114",NA,NA,NA,"4861",2022-06-30,9H 55M 0S,181,2022,NA,NA,NA,NA
"115",NA,NA,NA,"5422",2022-06-18,6H 40M 0S,169,2022,NA,NA,NA,NA
"116",NA,NA,NA,"5539",2022-06-09,6H 55M 0S,160,2022,NA,NA,NA,NA
"117",NA,NA,NA,"5711",2022-06-30,8H 59M 0S,181,2022,NA,NA,NA,NA
"118",NA,NA,NA,"594",2022-06-18,9H 10M 0S,169,2022,NA,NA,NA,NA
"119",NA,NA,NA,"737",2022-06-20,6H 40M 0S,171,2022,NA,NA,NA,NA
"120",NA,NA,NA,"746",2022-06-20,6H 11M 0S,171,2022,NA,NA,NA,NA
"121",NA,NA,NA,"764",2022-06-18,7H 16M 0S,169,2022,NA,NA,NA,NA
"122",NA,NA,NA,"801",2022-06-18,7H 33M 0S,169,2022,NA,NA,NA,NA
"123",NA,NA,NA,"876",2022-06-23,5H 43M 0S,174,2022,NA,NA,NA,NA
"124",NA,NA,NA,"923",2022-06-13,9H 5M 0S,164,2022,NA,NA,NA,NA
"125",NA,NA,NA,"941",2022-06-08,6H 57M 0S,159,2022,NA,NA,NA,NA
"126",NA,NA,NA,"986",2022-06-29,6H 19M 0S,180,2022,NA,NA,NA,NA
"127",NA,NA,NA,"1020",2022-06-13,7H 1M 0S,164,2022,NA,NA,NA,NA
"128",NA,NA,NA,"1025",2022-06-08,9H 28M 0S,159,2022,NA,NA,NA,NA
"129",NA,NA,NA,"1101",2022-06-09,7H 46M 0S,160,2022,NA,NA,NA,NA
"130",NA,NA,NA,"1122",2022-06-08,7H 23M 0S,159,2022,NA,NA,NA,NA
"131",NA,NA,NA,"1188",2022-06-24,9H 31M 0S,175,2022,NA,NA,NA,NA
"132",NA,NA,NA,"1270",2022-06-16,8H 31M 0S,167,2022,NA,NA,NA,NA
